חודש חישוב,סמל מוטב,שם מוטב,סמל ישוב,שם ישוב,תאור תפקיד,שיוך תפקיד,ספטמבר,אוקטובר,נובמבר,דצמבר,ינואר,פברואר,מרץ,אפריל,מאי,יוני,יולי,אוגיסט
3/2026,10406544,עירית כפר קרע,006544,כפר קרע,גננת,גננת-קיזוז,  -11.82,  -11.85,  -11.89,  -11.92,  -11.98,  -11.92,  -11.95,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,006544,כפר קרע,גננת,גננת-קיזוז,  -11.88,  -11.91,  -11.91,  -12.70,  -12.70,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,006544,כפר קרע,גננת,גננת-קיזוז,  -17.72,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,006544,כפר קרע,גננת,גננת-קיזוז,  -11.82,  -11.85,  -11.85,  -11.88,  -11.91,  -11.92,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,006544,כפר קרע,גננת,גננת-קיזוז,  -12.92,  -12.95,  -12.95,  -13.70,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,006544,כפר קרע,גננת,גננת-קיזוז,  -14.47,  -14.47,  -14.47,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,006544,כפר קרע,גננת,גננת-קיזוז,  -14.50,  -14.50,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,006544,כפר קרע,עוזרת לגננת,חובה רשמי,   10.22,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,006544,כפר קרע,עוזרת לגננת,חובה רשמי,   10.35,   10.35,   10.35,   10.32,   10.29,   10.32,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,006544,כפר קרע,עוזרת לגננת,חובה רשמי,   10.25,   10.25,   10.25,   10.25,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,006544,כפר קרע,עוזרת לגננת,חובה רשמי,   10.41,   10.41,   10.41,   10.38,   10.35,   10.41,   10.41,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,006544,כפר קרע,עוזרת לגננת,חובה רשמי,   10.19,   10.19,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,006544,כפר קרע,עוזרת לגננת,חובה רשמי,   10.22,   10.22,   10.22,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,006544,כפר קרע,עוזרת לגננת,חובה רשמי,   10.29,   10.29,   10.29,   10.25,   10.25,     .00,     .00,     .00,     .00,     .00,     .00,     .00
