חודש חישוב,שם מוטב,סמל מוטב,חודש תחולה,אחוז השתתפות,סוג מועדונית,שעות הפעלה,מספר מועדוניות,עלות,סכום מחושב,סכום מחושב קודם,הפרש מחושב
3/2026,עירית כפר קרע,10406544,09/2024,44,1,7 ש.הפעלה,1,31537.44,13876.47,13876.47,0
3/2026,עירית כפר קרע,10406544,10/2024,44,1,7 ש.הפעלה,1,32699.13,14387.61,14387.61,0
3/2026,עירית כפר קרע,10406544,11/2024,44,1,7 ש.הפעלה,1,31700.06,13948.02,13948.02,0
3/2026,עירית כפר קרע,10406544,12/2024,44,1,7 ש.הפעלה,1,31568.75,13890.25,13890.25,0
3/2026,עירית כפר קרע,10406544,01/2025,44,1,7 ש.הפעלה,1,31744.81,13967.71,13967.71,0
3/2026,עירית כפר קרע,10406544,02/2025,44,1,7 ש.הפעלה,1,31744.81,13967.71,13967.71,0
3/2026,עירית כפר קרע,10406544,03/2025,44,1,7 ש.הפעלה,1,31744.81,13967.71,13967.71,0
3/2026,עירית כפר קרע,10406544,04/2025,44,1,7 ש.הפעלה,1,32481.91,14292.04,14292.04,0
3/2026,עירית כפר קרע,10406544,05/2025,44,1,7 ש.הפעלה,1,32481.91,14292.04,14292.04,0
3/2026,עירית כפר קרע,10406544,06/2025,44,1,7 ש.הפעלה,1,46604.91,20506.16,20506.16,0
3/2026,עירית כפר קרע,10406544,07/2025,44,1,7 ש.הפעלה,1,38358.18,16877.59,16877.59,0
3/2026,עירית כפר קרע,10406544,08/2025,44,1,7 ש.הפעלה,1,32481.91,14292.04,14292.04,0
3/2026,עירית כפר קרע,10406544,09/2025,44,1,7 ש.הפעלה,1,32481.91,14292.04,14292.04,0
3/2026,עירית כפר קרע,10406544,10/2025,44,1,7 ש.הפעלה,1,33513.21,14745.81,14745.81,0
3/2026,עירית כפר קרע,10406544,11/2025,44,1,7 ש.הפעלה,1,32481.91,14292.04,14292.04,0
3/2026,עירית כפר קרע,10406544,12/2025,44,1,7 ש.הפעלה,1,32481.91,14292.04,14292.04,0
3/2026,עירית כפר קרע,10406544,01/2026,44,1,7 ש.הפעלה,1,34146.23,15024.34,15024.34,0
3/2026,עירית כפר קרע,10406544,02/2026,44,1,7 ש.הפעלה,1,33278.18,14642.39,14642.39,0
3/2026,עירית כפר קרע,10406544,03/2026,44,1,7 ש.הפעלה,1,33278.18,14642.39,0,14642.39
